# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugTargetExporter
# Time: 2014.07.15 at 02:17:00 EDT
PiHelper_DrugTarget_ID	HGNC_Symbol	Drug_Name	DataSources	References
6297	COMT	BIA	DrugBank	PubMed:10592235
6298	PRSS1	1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea	DrugBank	PubMed:10592235
6299	PPARD	Heptyl-Beta-D-Glucopyranoside	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6300	FKBP1A	Heptyl-Beta-D-Glucopyranoside	DrugBank	PubMed:10592235
6301	AANAT	Coa-S-Acetyl 5-Bromotryptamine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6302	CYTH3	Inositol-(1,3,4,5,6)-Pentakisphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6303	GLO1	Beta-Mercaptoethanol	DrugBank	PubMed:17016423;PubMed:17139284
6304	PNPO	Beta-Mercaptoethanol	DrugBank	PubMed:17016423;PubMed:17139284
6305	SERPINA1	Beta-Mercaptoethanol	DrugBank	PubMed:17016423;PubMed:17139284
6306	LGALS1	Beta-Mercaptoethanol	DrugBank	PubMed:10592235
6307	SCMH1	Beta-Mercaptoethanol	DrugBank	PubMed:10592235
6308	SULT1E1	3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6309	PDE4B	8-Bromo-Adenosine-5'-Monophosphate	DrugBank	PubMed:17016423;PubMed:17139284
6310	HINT1	8-Bromo-Adenosine-5'-Monophosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6311	DHFR	Sri-9439	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6312	PYGM	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6313	ACHE	M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6314	CDK2	4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6315	MMP12	PF-00356231	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6316	MMP3	5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6317	ADA	FR239087	DrugBank	PubMed:10592235
6318	IL2	3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One	DrugBank	PubMed:10592235
6319	PRSS1	ZK-806711	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6320	PKIA	3,5-Diiodotyrosine	DrugBank	PubMed:10592235
6321	PRKACA	3,5-Diiodotyrosine	DrugBank	PubMed:10592235
6322	PRSS1	3,5-Diiodotyrosine	DrugBank	PubMed:10592235
6323	IYD	3,5-Diiodotyrosine	DrugBank	PubMed:10592235
6324	EPRS	'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6325	TPI1	2-Carboxyethylphosphonic Acid	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6326	NPY	L-Tyrosinamide	DrugBank	PubMed:10592235
6327	BPHL	L-Tyrosinamide	DrugBank	PubMed:10592235
6328	RHO	Hexadecanal	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6329	DBI	Hexadecanal	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6330	PREP	S-Oxy Cysteine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6331	SOD1	S-Oxy Cysteine	DrugBank	PubMed:10592235
6332	PYGM	5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide	DrugBank	PubMed:10592235
6333	CASP7	Fica	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6334	CA2	4-Methylimidazole	DrugBank	PubMed:17016423;PubMed:17139284
6335	MB	4-Methylimidazole	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6336	CA5A	4-Methylimidazole	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6337	LCT	alpha-D-Xylopyranose	DrugBank	PubMed:10592235
6338	ACPP	N-Propyl-Tartramic Acid	DrugBank	PubMed:17016423;PubMed:17139284
6339	PYGM	(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6340	PPIA	(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-Ethyl-4-Hydroxy-3,5,11-Trimethyl-8-Oxo-1-Oxa-7-Azaspiro[5.5]Undec-2-Yl]-8-Hydroxy-1,7-Dimethylnona-1,3-Dienyl}-10,12-Dihydroxy-3-(3-Hydroxybenzyl)-6-Isopropyl-11-Methyl-	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6341	REN	Enalkiren	DrugBank;KEGG Drugs	PubMed:11752352
6342	METAP2	(E)-(2r,3r,4s,5r)-3,4,5-Trihydroxy-2-Methoxy-8,8-Dimethyl-Non-6-Enoic Acid ((3s,6r)-6-Hydroxy-2-Oxo-Azepan-3-Yl)-Amide	DrugBank	PubMed:17016423;PubMed:17139284
6343	UAP1	Uridine-Diphosphate-N-Acetylglucosamine	DrugBank	PubMed:17016423;PubMed:17139284
6344	GALE	Uridine-Diphosphate-N-Acetylglucosamine	DrugBank	PubMed:17016423;PubMed:17139284
6345	EXTL2	Uridine-Diphosphate-N-Acetylglucosamine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6346	MGAT1	Uridine-Diphosphate-N-Acetylglucosamine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6347	MB	Ethyl Isocyanide	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6348	CYTH2	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6349	EPN1	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6350	PLCD1	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6351	RDX	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6352	SPTBN1	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6353	ITPR1	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6354	ITPKA	D-Myo-Inositol-1,4,5-Triphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6355	CMPK1	Cytidine-5'-Monophosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6356	UCK2	Cytidine-5'-Monophosphate	DrugBank	PubMed:17016423;PubMed:17139284
6357	MB	6,7-Dicarboxyl-1,2,3,4,5,8-Hexamethylhemin	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6358	CTSK	1-[N[(Phenylmethoxy)Carbonyl]-L-Leucyl-4-[[N/N-[(Phenylmethoxy)Carbonyl]-/Nl-Leucyl]Amino]-3-Pyrrolidinone/N	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6359	GSS	Gamma-Glutamylcysteine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6360	DUT	Deoxyuridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6361	MAN2A1	5-Thio-a/B-D-Mannopyranosylamine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6362	ACADM	3-Thiaoctanoyl-Coenzyme A	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6363	PRSS1	1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6364	DPYD	Uracil	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6365	UCKL1	Uracil	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6366	LTA4H	Bestatin	DrugBank	PubMed:17016423;PubMed:17139284
6367	GRIK2	2s,4r-4-Methylglutamate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6368	CDK5	SU9516	DrugBank	PubMed:11752352
6369	CDK1	SU9516	DrugBank	PubMed:11752352
6370	CDK2	SU9516	DrugBank	PubMed:17016423;PubMed:11752352;PubMed:10592235;PubMed:17139284
6372	SLC25A4	Cardiolipin	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6373	LCTL	(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6374	GUK1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6375	ATP2A1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6376	MYH11	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6377	ITPKA	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6378	KIF2C	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6379	CKM	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6380	HSP90AB1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6381	MAT1A	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6382	DDX39B	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6383	CMPK1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6384	ABCA6	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6385	KIF11	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6386	ACTA1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6387	PGK1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6388	PDXK	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6389	KIT	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6390	HSP90B1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6391	HSPA8	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6392	APAF1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6393	HSP90AA1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6394	MYH14	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6395	HSPA1A	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6396	GALK1	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6397	DTYMK	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6398	RFK	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6399	PMS2	Adenosine-5'-Diphosphate	DrugBank	
6400	AURKA	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6401	PTK2	Adenosine-5'-Diphosphate	DrugBank	
6402	ABCE1	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6403	RNASE2	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6404	MAPKAPK2	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6405	VCP	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6406	HK1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6407	BCKDK	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6408	PAPSS1	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6409	GSK3B	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6410	UCK2	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6411	SRPK2	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6412	HMGCR	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6413	KIF5B	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6414	GSS	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6415	GLUD1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6416	RNASE1	Adenosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6417	DCK	Adenosine-5'-Diphosphate	DrugBank	
6418	NME1	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6419	KIFC1	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6420	TAP1	Adenosine-5'-Diphosphate	DrugBank	
6421	CFTR	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6422	RFC5	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6423	CCT3	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6424	MYO1D	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6425	KIF1A	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6426	TRPM7	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6427	KIF3B	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6428	PDK2	Adenosine-5'-Diphosphate	DrugBank	PubMed:10592235
6429	GNLY	3[N-Morpholino]Propane Sulfonic Acid	DrugBank	PubMed:17016423;PubMed:17139284
6430	EXTL2	Uridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6431	GLT6D1	Uridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6432	CMPK1	Uridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6433	B3GAT3	Uridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6434	ABO	Uridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6435	B3GAT1	Uridine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:17139284
6436	GYG1	Uridine-5'-Diphosphate	DrugBank	PubMed:10592235
6437	AMY1A	4,6-Dideoxy-4-Amino-Alpha-D-Glucose	DrugBank	PubMed:17016423;PubMed:17139284
6438	AMY2A	4,6-Dideoxy-4-Amino-Alpha-D-Glucose	DrugBank	
6439	CPA1	2-Benzyl-3-Iodopropanoic Acid	DrugBank	PubMed:10592235
6440	ATIC	2-[5-Hydroxy-3-Methyl-1-(2-Methyl-4-Sulfo-Phenyl)-1h-Pyrazol-4-Ylazo]-4-Sulfo-Benzoic Acid	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6441	PRSS1	Bis(5-Amidino-Benzimidazolyl)Methanone Zinc	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6442	GSK3B	(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime	DrugBank	PubMed:10592235
6443	RNASE1	Uridylyl-2'-5'-Phospho-Adenosine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6444	RNASE4	2'-Deoxyuridine 3'-Monophosphate	DrugBank	PubMed:17016423;PubMed:17139284
6445	RNASE1	2'-Deoxyuridine 3'-Monophosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6446	NOS2	N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine	DrugBank	PubMed:10592235
6447	NOS1	N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine	DrugBank	PubMed:10592235
6448	VDR	1alpha,25-Dihydroxyl-20-Epi-22-Oxa-24,26,27-Trihomovitamin D3	DrugBank	PubMed:17016423;PubMed:17139284
6449	IL2	(R)-N-[2-[1-(Aminoiminomethyl)-3-Piperidinyl]-1-Oxoethyl]-4-(Phenylethynyl)-L-Phenylalanine Methylester	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6450	IL2	(1h-Indol-3-Yl)-(2-Mercapto-Ethoxyimino)-Acetic Acid	DrugBank	PubMed:10592235
6451	CTSK	N2-[(Benzyloxy)Carbonyl]-N1-[(3s)-1-Cyanopyrrolidin-3-Yl]-L-Leucinamide	DrugBank	PubMed:10592235
6452	CAD	N-(Phosphonacetyl)-L-Aspartic Acid	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6453	ADH1B	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6454	POR	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6455	ME1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6456	AKR1B1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6457	AKR1C2	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6458	HSD17B1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6459	NNT	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6460	HSD11B1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6461	SPR	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6462	DCXR	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6463	IDH1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6464	AKR1C1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6465	NOS1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6466	G6PD	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6467	DHFR	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6468	MTHFD1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6469	AKR1C3	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6470	BLVRB	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6471	CRYZ	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6472	DHRS11	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	
6473	HMGCR	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:17139284
6474	MDH1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6475	HSD17B8	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6476	AKR1A1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6477	DECR1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	
6478	FDXR	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6479	PTGR1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6480	AKR1B10	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6481	DHRS4L1	2'-Monophosphoadenosine 5'-Diphosphoribose	DrugBank	PubMed:10592235
6482	ENO3	2-Phospho-D-Glyceric Acid	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6483	RARG	BMS184394	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6484	PNMT	1,2,3,4-Tetrahydro-Isoquinoline-7-Sulfonic Acid Amide	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6485	PLA2G2A	6-Phenyl-4(R)-(7-Phenyl-Heptanoylamino)-Hexanoic Acid	DrugBank	PubMed:17016423;PubMed:17139284
6486	PLAU	Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6487	PTGS2	1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole	DrugBank	PubMed:10592235
6488	SIRT5	2'-O-Acetyl Adenosine-5-Diphosphoribose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6489	PYGM	8,9,10-Trihydroxy-7-Hydroxymethyl-3-Methyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6490	DHODH	Brequinar Analog	DrugBank	PubMed:17016423;PubMed:17139284
6491	PTPN1	4-Benzoylamino-4-{1-{1-Carbamoyl-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-2-[4-(Difluoro-Phosphono-Methyl)-Phenyl]-Ethylcarbamoyl}-Butyric Acid	DrugBank	PubMed:17016423;PubMed:17139284
6492	ANXA5	L-Alpha-Glycerophosphorylethanolamine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6493	LTF	Alpha-D-Fucose	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6494	CANT1	Phosphomethylphosphonic Acid Guanosyl Ester	DrugBank	PubMed:17016423;PubMed:17139284
6495	LYZ	3-Aminosuccinimide	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6496	CDK2	3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6497	NME1	2'-Deoxyguanosine-5'-Diphosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6498	PRSS1	CRA_10950	DrugBank	PubMed:10592235
6499	AMY2A	4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1->4)-Alpha-D-Threo-Hexopyranosyl-(1->6)-Alpha-L-Threo-Hexopyranose	DrugBank	
6500	CDK2	Flavopiridol	DrugBank	PubMed:18465538;PubMed:11752352
6501	CDK5	Flavopiridol	DrugBank	PubMed:11752352
6502	CDK9	Flavopiridol	DrugBank	PubMed:11752352
6503	CDK1	Flavopiridol	DrugBank	PubMed:11752352
6504	CDK6	Flavopiridol	DrugBank	PubMed:11752352
6505	EGFR	Flavopiridol	DrugBank	PubMed:11752352
6507	CDK4	Flavopiridol	DrugBank	PubMed:11752352
6508	CDK8	Flavopiridol	DrugBank	PubMed:11752352
6509	CDK7	Flavopiridol	DrugBank	PubMed:11752352
6510	PYGM	Flavopiridol	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6511	ME2	Malate Ion	DrugBank	PubMed:17016423;PubMed:17139284
6512	CS	Malate Ion	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6513	B4GALT1	Uridine Diphosphate Galactose	DrugBank	PubMed:12051854;PubMed:10592235
6514	ABO	Uridine Diphosphate Galactose	DrugBank	PubMed:12972418
6515	GALE	Uridine Diphosphate Galactose	DrugBank	PubMed:11279193
6516	HSP90AA1	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine	DrugBank	PubMed:10592235
6517	APRT	9-Deazaadenine	DrugBank	PubMed:10592235
6518	TNFRSF1A	6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6519	PARP1	2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6520	ADSSL1	6-O-Phosphoryl Inosine Monophosphate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6521	RNASE1	Uridine-2',3'-Vanadate	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6522	OTC	2-Amino-Pentanoic Acid	DrugBank	PubMed:17016423;PubMed:17139284
6523	DHODH	6-Fluoro-2-(2'-Fluoro-1,1'-Biphenyl-4-Yl)-3-Methylquinoline-4-Carboxylic Acid	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6524	SRC	RU79073	DrugBank	PubMed:10592235
6525	CA2	AL5927	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6526	DAO	Flavin-Adenine Dinucleotide-N5-Isobutyl Ketone	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6527	PREP	Z-Pro-Prolinal	DrugBank	PubMed:10592235
6528	CTSF	Benzoyl-Arginine-Alanine-Methyl Ketone	DrugBank	PubMed:10592235
6529	CHIT1	2-(Acetylamino)-2-Deoxy-6-O-Methyl-Alpha-D-Allopyranose	DrugBank	PubMed:17016423;PubMed:17139284
6530	NQO2	10-Propargyl-5,8-Dideazafolic Acid	DrugBank	PubMed:10592235
6531	TYMS	10-Propargyl-5,8-Dideazafolic Acid	DrugBank	PubMed:10592235
6532	DHRS4L1	10-Propargyl-5,8-Dideazafolic Acid	DrugBank	PubMed:10592235
6533	IMPA1	L-Myo-Inositol-1-Phosphate	DrugBank	PubMed:17016423;PubMed:17139284
6534	GART	10-CF3C(OH)2-DDACTHF	DrugBank	PubMed:17016423;PubMed:17139284
6535	PNP	4'-Deaza-1'-Aza-2'-Deoxy-1'-(9-Methylene)-Immucillin-H, (3r,4r)-N-[9-Deazahypoxanthin-9-Yl)Methyl]-4-Hydroxymethyl-Pyrrolidin-3-Ol	DrugBank	PubMed:17016423;PubMed:17139284
6536	TH	Meta-Tyrosine	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6537	DPYD	5-Iodouracil	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
6538	PRSS1	CRA_11092	DrugBank	PubMed:17016423;PubMed:10592235;PubMed:17139284
