# File generated by PiHelper. Please see the project web site for further details on data use terms.
# Exporter: DrugExporter
# Time: 2014.07.15 at 01:58:08 EDT
PiHelper_Drug_ID	Drug_Name	Drug_Synonyms	Description	Number_of_Targets	ATC_Codes	isFdaApproved	isCancerDrug	isNutraceutical	Number_Of_Clinical_Trials	DataSources	References
58723	3'-Phosphate-Adenosine-5'-Phosphate Sulfate		"3&#39;-Phosphoadenosine-5&#39;-phosphosulfate. Key intermediate in the formation by living cells of sulfate esters of phenols, alcohols, steroids, sulfated polysaccharides, and simple esters, such as choline sulfate. It is formed from sulfate ion and ATP in a two-step process. This compound also is an important step in the process of sulfur fixation in plants and microorganisms. [PubChem]"	1		false	false	false	-1	DrugBank	PDB:PPS;DrugBank:DB02902;PubChem Compound:46936522;PubChem Substance:46508242
58724	BV3		""	0		false	false	false	-1	DrugBank	PDB:BV3;PubChem Substance:46507889;PubChem Compound:46936523;DrugBank:DB02903
58725	Beta-3-Serine		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936524;DrugBank:DB02904;PDB:BSE;PubChem Substance:46508484
58726	Phosphoric Acid Mono-[3,4-Dihydroxy-5-(5-Hydroxy-Benzoimidazol-1-Yl)Tetrahydro-Furan-2-Ylmethyl] Ester		""	0		false	false	false	-1	DrugBank	PDB:P2P;PubChem Compound:46936525;PubChem Substance:46506029;DrugBank:DB02905
58727	(2s,4s)-Alpha-Campholinic Acid		""	0		false	false	false	-1	DrugBank	PDB:CAX;ChemSpider:4450169;PubChem Substance:46506193;DrugBank:DB02906;PubChem Compound:5287884
58728	2-Amino-Vinyl-Phosphate		""	0		false	false	false	-1	DrugBank	PDB:EAP;PubChem Compound:6120722;PubChem Substance:46507974;DrugBank:DB02907
58729	RU78783		""	1		false	false	false	-1	DrugBank	BindingDB:14678;PDB:787;DrugBank:DB02908;PubChem Substance:46505266;PubChem Compound:447537
58730	5-(2-Chlorophenyl)Furan-2-Carboxylic Acid		""	0		false	false	false	-1	DrugBank	PDB:FCD;PubChem Compound:784625;PubChem Substance:46508837;ChemSpider:686141;BindingDB:50175442;DrugBank:DB02909
58731	Octanoyl-Coenzyme A		""	3		false	false	false	-1	DrugBank	DrugBank:DB02910;ChEBI:15533;PDB:CO8;PubChem Substance:46508781;PubChem Compound:46936526
58732	2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine		""	1		false	false	false	-1	DrugBank	DrugBank:DB02911;ChemSpider:392845;PDB:AP6;PubChem Compound:445109;PubChem Substance:46504888
58733	Propionyl Coenzyme A		""	0		false	false	false	-1	DrugBank	PubChem Substance:46506742;KEGG Compound:C00100;DrugBank:DB02912;PDB:191;PubChem Compound:46936527;ChEBI:15539
58734	(6e)-6-[(2e,4e,6e)-3,7-Dimethylnona-2,4,6,8-Tetraenylidene]-1,5,5-Trimethylcyclohexene		""	0		false	false	false	-1	DrugBank	PubChem Substance:46507241;DrugBank:DB02914;PDB:ANR;PubChem Compound:5352712;ChemSpider:21230613
58735	4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(4-Trifluoromethyl-Phenyl)-Amine		""	2		false	false	false	-1	DrugBank	PubChem Compound:447958;DrugBank:DB02915;ChemSpider:394903;PubChem Substance:46506632;BindingDB:8049;PDB:CK4
58736	[(2r,3s,4r,5r)-5-(6-Amino-9h-Purin-9-Yl)-3,4-Dihydroxytetrahydro-2-Furanyl]Methyl Sulfamate		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936528;PDB:LMS;PubChem Substance:46508884;DrugBank:DB02916
58737	N-Hydroxy-4-(Methyl{[5-(2-Pyridinyl)-2-Thienyl]Sulfonyl}Amino)Benzamide		""	1		false	false	false	-1	DrugBank	PDB:NHB;PubChem Compound:449096;PubChem Substance:46504715;DrugBank:DB02917;ChemSpider:395719
58738	6-(4-Difluoromethoxy-3-Methoxy-Phenyl)-2h-Pyridazin-3-One		""	1		false	false	false	-1	DrugBank	PubChem Substance:46506162;PDB:ZAR;PubChem Compound:5723;DrugBank:DB02918;ChemSpider:5521
58739	2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine		""	1		false	false	false	-1	DrugBank	PubChem Compound:447229;PDB:DTM;ChemSpider:394384;PubChem Substance:46505269;DrugBank:DB02919
58740	Zn(Ii)-(20-Oxo-Protoporphyrin Ix)		""	0		false	false	false	-1	DrugBank	PubChem Substance:46507398;DrugBank:DB02920;PDB:ZEM
58741	(South)-Methanocarba-Thymidine		""	0		false	false	false	-1	DrugBank	PubChem Compound:447628;PDB:SCT;DrugBank:DB02921;PubChem Substance:46504656
58742	Hexafluoroacetone Hydrate		""	0		false	false	false	-1	DrugBank	PubChem Substance:46505462;PDB:FAC;DrugBank:DB02922;PubChem Compound:69617
58743	Biphenyl-2,3-Diol		""	0		false	false	false	-1	DrugBank	ChemSpider:249;DrugBank:DB02923;PubChem Substance:46507022;PDB:BPY;ChEBI:16205;PubChem Compound:254;KEGG Compound:C02526
58744	D-Limonene 1,2-Epoxide		""	1		false	false	false	-1	DrugBank	DrugBank:DB02924;PubChem Compound:6857487;PDB:LEO;PubChem Substance:46507994;ChEBI:43812
58745	Piretanide	Arelix (TN);Piretanide (JAN)	""	1	C03CA03	true	false	false	-1	DrugBank;KEGG Drugs	NIKKAJI:J3.520C;DrugBank:DB02925;PubChem Substance:46507197;PubChem Compound:4849;KEGG Drug:D01634;CAS:55837-27-9;KEGG:D01634;LigandBox:D01634;PubChem Substance:7848697
58746	2-Oxo-Glutaric Acid		""	0		false	false	false	-1	DrugBank	PubChem Substance:46506957;PubChem Compound:51;DrugBank:DB02926;PDB:AKG;ChEBI:30915
58747	Mixed Carbamic Phosphoric Acid Anhydride of 7,8-Diaminononanic Acid		""	0		false	false	false	-1	DrugBank	PDB:DPU;PubChem Substance:46507124;PubChem Compound:445026;DrugBank:DB02927
58748	3-Amino-6-Hydroxy-Tyrosine		""	0		false	false	false	-1	DrugBank	PDB:TYQ;PubChem Compound:17754207;PubChem Substance:46507133;DrugBank:DB02928
58749	K201		""	1		false	false	false	-1	DrugBank	ChemSpider:1652;PDB:K21;PubChem Compound:1715;PubChem Substance:46508628;DrugBank:DB02929
58750	Phosphothiophosphoric Acid-Adenylate Ester		""	2		false	false	false	-1	DrugBank	PubChem Substance:46507118;DrugBank:DB02930;PDB:AGS;PubChem Compound:46936529;ChEBI:27575
58751	Coa-S-Acetyl Tryptamine		""	1		false	false	false	-1	DrugBank	PubChem Compound:46936530;PubChem Substance:46507732;DrugBank:DB02931;PDB:COT
58752	(2r)-N-[4-Cyano-3-(Trifluoromethyl)Phenyl]-3-[(4-Fluorophenyl)Sulfonyl]-2-Hydroxy-2-Methylpropanamide		""	1		false	false	false	-1	DrugBank	PDB:198;PubChem Compound:56069;ChemSpider:50614;DrugBank:DB02932;PubChem Substance:46506892
58753	5'-Deoxy-5'-(Methylthio)-Tubercidin		""	1		false	false	false	-1	DrugBank	PubChem Substance:46507618;PubChem Compound:188350;ChemSpider:163705;DrugBank:DB02933;PDB:MTH
58754	9-(6-Deoxy-Alpha-L-Talofuranosyl)-6-Methylpurine		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936531;DrugBank:DB02934;PubChem Substance:46506120;PDB:TAL
58755	1-Methoxy-2-(2-Methoxyethoxy)Ethane		""	1		false	false	false	-1	DrugBank	DrugBank:DB02935;PubChem Compound:8150;PubChem Substance:46506526;ChEBI:46784;PDB:M2M
58756	4-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Butyric Acid		""	1		false	false	false	-1	DrugBank	DrugBank:DB02936;PDB:6IN;ChemSpider:3579;PubChem Compound:3710;PubChem Substance:46504907
58757	Gamma-Arsono-Beta, Gamma-Methyleneadenosine-5'-Diphosphate		"Adenylic acid. Adenine nucleotide containing one phosphate group esterified to the sugar moiety in the 2&#39;-, 3&#39;-, or 5&#39;-position. [PubChem]"	0		false	false	false	-1	DrugBank	DrugBank:DB02937;PubChem Compound:46936532;PubChem Substance:46505250;PDB:ATS
58758	Heptanoic Acid		""	1		false	false	false	-1	DrugBank	PDB:SHV;DrugBank:DB02938;ChEBI:45571;PubChem Compound:8094;PubChem Substance:46505604
58759	[(1e)-4-Phenylbut-1-Enyl]Benzene		""	1		false	false	false	-1	DrugBank	ChemSpider:4449832;PubChem Substance:46505313;DrugBank:DB02939;PDB:1PB;PubChem Compound:5287453
58760	(4s)-2-[(1e)-1-Aminoprop-1-Enyl]-4,5-Dihydro-1,3-Thiazole-4-Carboxylic Acid		""	0		false	false	false	-1	DrugBank	DrugBank:DB02940;PDB:TZB;PubChem Compound:5289509;ChemSpider:4451461;PubChem Substance:46504725
58761	3-(1-Aminoethyl)Nonanedioic Acid		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936533;PubChem Substance:46505402;PDB:IKT;DrugBank:DB02941
58762	Inositol 1,3-Bisphosphate		""	1		false	false	false	-1	DrugBank	PubChem Compound:128419;PDB:ITP;PubChem Substance:46506084;ChEBI:18225;DrugBank:DB02942
58763	N-(4-Aminobutanoyl)-S-(4-Methoxybenzyl)-L-Cysteinylglycine		""	1		false	false	false	-1	DrugBank	PubChem Compound:46936534;PubChem Substance:46506921;PDB:ABY;DrugBank:DB02943
58764	Alpha-D-Mannose		"A hexose or fermentable monosaccharide and isomer of glucose from manna, the ash Fraxinus ornus and related plants. (From Grant & Hackh&#39;s Chemical Dictionary, 5th ed & Random House Unabridged Dictionary, 2d ed)"	56		false	false	false	-1	DrugBank	PDB:MAN;PubChem Compound:6992084;PubChem Substance:46504527;ChEBI:28729;DrugBank:DB02944;KEGG Compound:C00936
58765	L-Iduronic Acid		""	0		false	false	false	-1	DrugBank	PDB:IDR;KEGG Compound:C06472;ChEBI:28481;DrugBank:DB02945
58766	Carpropamide		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936535;PubChem Substance:46506384;PDB:INY;DrugBank:DB02946
58767	2-Fluoro-2'-Deoxyadenosine		""	0		false	false	false	-1	DrugBank	PDB:2FD;PubChem Compound:46936536;DrugBank:DB02947;PubChem Substance:46506905
58768	Fosmidomycin		""	0		false	false	false	-1	DrugBank	PubChem Compound:572;PubChem Substance:46508936;DrugBank:DB02948;ChEBI:443725;PDB:FOM
58769	2-Acetyl-Protoporphyrin Ix		""	0		false	false	false	-1	DrugBank	PDB:HCO;DrugBank:DB02949;PubChem Substance:46505245;PubChem Compound:17754017
58770	Hymenialdisine		""	3		false	false	false	-1	DrugBank	DrugBank:DB02950;PubChem Compound:3035462;PubChem Substance:492824;PubChem Substance:46506233;PDB:HMD;NSC:626158;PubChem Compound:17754027
58771	3-Hydroxypyruvic Acid		""	0		false	false	false	-1	DrugBank	DrugBank:DB02951;ChEBI:30841;PDB:3PY;KEGG Compound:C00168;PubChem Substance:46508098;PubChem Compound:964
58772	Alpha-Aminoisobutyric Acid		""	2		false	false	false	-1	DrugBank	ChEBI:40599;PubChem Compound:6119;PubChem Substance:46508838;PDB:AIB;DrugBank:DB02952
58773	2-Thiomethyl-3-Phenylpropanoic Acid		""	1		false	false	false	-1	DrugBank	PDB:BTP;PubChem Compound:5287850;PubChem Substance:46505430;ChemSpider:4450140;DrugBank:DB02953
58774	(Carboxyhydroxyamino)Ethanoic Acid		""	0		false	false	false	-1	DrugBank	PubChem Substance:46505870;PubChem Compound:4633094;PDB:HAD;DrugBank:DB02954
58775	Ricinoleic Acid		""	0		false	false	false	-1	DrugBank	PubChem Compound:5312852;PDB:RCL;KEGG Compound:C08365;PubChem Substance:46506721;ChEBI:28592;DrugBank:DB02955
58776	Pentasulfide-Sulfur		""	0		false	false	false	-1	DrugBank	PDB:PS5;PubChem Substance:46508164;DrugBank:DB02956;ChEBI:45147;PubChem Compound:5289210;ChemSpider:4451217
58777	Orotidine-5'-Monophosphate		""	0		false	false	false	-1	DrugBank	BindingDB:21336;PubChem Compound:46936537;DrugBank:DB02957;PDB:OMP;PubChem Substance:46507709
58778	Selenomethionine Selenoxide		""	0		false	false	false	-1	DrugBank	PubChem Substance:46505728;PDB:MSO;PubChem Compound:46936538;DrugBank:DB02958
58779	Oxitriptan	5-Hydroxy-L-Tryptophan;Hydroxy-5 L-tryptophane;Levothym	"5-Hydroxytryptophan (5-HTP), also known as oxitriptan (INN), is a naturally occurring amino acid and chemical precursor as well as a metabolic intermediate in the biosynthesis of the neurotransmitters serotonin and melatonin from tryptophan. 5-HTP is sold over-the-counter in the United Kingdom, United States and Canada as a dietary supplement for use as an antidepressant, appetite suppressant, and sleep aid, and is also marketed in many European countries for the indication of major depression under trade names like Cincofarm, Levothym, Levotonine, Oxyfan, Telesol, Tript-OH, and Triptum. Several double-blind placebo-controlled clinical trials have demonstrated the effectiveness of 5-HTP in the treatment of depression, though a lack of high quality studies has been noted. More and larger studies are needed to determine if 5-HTP is truly effective in treating depression."	0	N06AX01	true	false	true	-1	DrugBank	KEGG Compound:C00643;KEGG Drug:D07339;ChEBI:17780;DrugBank:DB02959;PDB:HRP
58780	1-Carboxyethylaminomethyl-4-Aminomethylbenzene		""	0		false	false	false	-1	DrugBank	PDB:MN2;DrugBank:DB02960;PubChem Substance:46507673;PubChem Compound:5158928
58781	L-Rhamnose		"A methylpentose whose L- isomer is found naturally in many plant glycosides and some gram-negative bacterial lipopolysaccharides. [PubChem]"	0		false	false	false	-1	DrugBank	KEGG Compound:C00507;DrugBank:DB02961;ChEBI:16055;PubChem Substance:46507432;PDB:RNS;PubChem Compound:93579
58782	Benzimidazole		""	0		false	false	false	-1	DrugBank	ChEBI:3028;PubChem Compound:5798;BindingDB:7939;DrugBank:DB02962;PubChem Substance:46508614;KEGG Compound:C02009;PDB:BZI
58783	(5-Chloropyrazolo[1,5-a]Pyrimidin-7-Yl)-(4-Methanesulfonylphenyl)Amine		""	1		false	false	false	-1	DrugBank	PubChem Compound:5287989;ChemSpider:4450238;PubChem Substance:46506165;PDB:CT7;BindingDB:11442;DrugBank:DB02963
58784	8,9,10-Trihydroxy-7-Hydroxymethyl-2-Thioxo-6-Oxa-1,3-Diaza-Spiro[4.5]Decan-4-One		""	1		false	false	false	-1	DrugBank	PDB:GL4;PubChem Compound:46936539;DrugBank:DB02964;PubChem Substance:46505703
58785	Ndelta-(N'-Sulphodiaminophosphinyl)-L-Ornithine		""	0		false	false	false	-1	DrugBank	DrugBank:DB02965;PDB:PSQ;PubChem Substance:46508926;PubChem Compound:46936540
58786	Fluoro-Willardiine		""	1		false	false	false	-1	DrugBank	PubChem Compound:126569;PubChem Substance:46506706;DrugBank:DB02966;PDB:FWD
58787	N-Ethylmaleimide		"A sulfhydryl reagent that is widely used in experimental biochemical studies. [PubChem]"	1		false	false	false	-1	DrugBank	ChEBI:7269;KEGG Compound:C02441;ChemSpider:4209;PubChem Substance:46509138;PDB:NEQ;PubChem Compound:4362;DrugBank:DB02967
58788	Penicillin G Acyl-Serine		""	0		false	false	false	-1	DrugBank	PubChem Substance:46509100;PDB:PG1;PubChem Compound:46936541;DrugBank:DB02968
58789	4-Methyl-5-Hydroxyethylthiazole		""	0		false	false	false	-1	DrugBank	PDB:TZE;PubChem Compound:1136;PubChem Substance:46508304;DrugBank:DB02969
58790	2-Propyl-Aniline		""	0		false	false	false	-1	DrugBank	PubChem Compound:15759;DrugBank:DB02970;PDB:PRY;PubChem Substance:46505831
58791	2-Amino-4-(2-Amino-Ethoxy)-Butyric Acid		""	0		false	false	false	-1	DrugBank	PDB:AVG;PubChem Substance:46508365;DrugBank:DB02971;PubChem Compound:46936543
58792	1-Benzyl-(R)-Propylamine		""	0		false	false	false	-1	DrugBank	PubChem Compound:40472480;DrugBank:DB02972;PubChem Substance:46505108;PDB:PO0
58793	4-(5-Bromo-2-Oxo-2h-Indol-3-Ylazo)-Benzenesulfonamide		""	1		false	false	false	-1	DrugBank	ChemSpider:1644;PubChem Substance:46504913;PubChem Compound:1707;DrugBank:DB02973;PDB:106
58794	4-(4-Chlorophenyl)Imidazole		""	1		false	false	false	-1	DrugBank	PubChem Substance:46505805;PDB:CPZ;BindingDB:19475;PubChem Compound:448632;DrugBank:DB02974
58795	Ge2270a		""	0		false	false	false	-1	DrugBank	PDB:GEA;KEGG Compound:C12068;DrugBank:DB02975;PubChem Compound:46936544;ChemSpider:17286451;PubChem Substance:46508431
58796	Uridine-5'-Monophosphate 2-Deoxy-2-Fluoro-Galactopyranosyl-Monophosphate Ester		""	0		false	false	false	-1	DrugBank	PubChem Substance:46509153;PubChem Compound:46936545;DrugBank:DB02976;PDB:UPF
58797	PNU177836		""	1		false	false	false	-1	DrugBank	PDB:TBH;PubChem Substance:46504805;DrugBank:DB02977;PubChem Compound:46936546
58798	Beta-Hydroxyleucine		""	0		false	false	false	-1	DrugBank	PubChem Substance:46505899;DrugBank:DB02978;PDB:HLU;PubChem Compound:6994741
58799	N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane		""	1		false	false	false	-1	DrugBank	PDB:NTU;PubChem Substance:46505712;DrugBank:DB02979;PubChem Compound:11740154
58800	Thymidine-5'-(Dithio)Phosphate		""	0		false	false	false	-1	DrugBank	PubChem Substance:46505644;PDB:THS;PubChem Compound:46936547;DrugBank:DB02980
58801	Vitamin B6 Complexed with 2-Amino-Hexanoic Acid		""	0		false	false	false	-1	DrugBank	PDB:PY6;PubChem Compound:46936548;PubChem Substance:46508563;DrugBank:DB02981
58802	Bombykol		""	0		false	false	false	-1	DrugBank	PDB:BOM;PubChem Substance:46505697;DrugBank:DB02982;PubChem Compound:5353007
58803	Para-Mercury-Benzenesulfonic Acid		""	2		false	false	false	-1	DrugBank	PDB:PMB;ChEBI:49823;DrugBank:DB02983;PubChem Substance:46507852;PubChem Compound:65258
58804	4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline		""	1		false	false	false	-1	DrugBank	PubChem Substance:46507797;ChemSpider:1651;PDB:MSQ;PubChem Compound:1714;DrugBank:DB02984
58805	8-Iodo-Guanine		""	0		false	false	false	-1	DrugBank	PubChem Substance:46507908;DrugBank:DB02985;PubChem Compound:444737;PDB:8IG
58806	N-(2-Thienylmethyl)-2,5-Thiophenedisulfonamide		""	1		false	false	false	-1	DrugBank	DrugBank:DB02986;PubChem Compound:4293;PubChem Substance:46504557;PDB:TPD;ChemSpider:4142
58807	Cysteine-S-Acetamide		""	2		false	false	false	-1	DrugBank	PDB:YCM;PubChem Compound:17754220;DrugBank:DB02987;PubChem Substance:46509176
58808	Imino-Tryptophan		""	1		false	false	false	-1	DrugBank	PubChem Substance:46507068;ChemSpider:5397;DrugBank:DB02988;PDB:ITR;PubChem Compound:5599
58809	CRA_10972		""	1		false	false	false	-1	DrugBank	PubChem Compound:6102595;DrugBank:DB02989;PDB:972;PubChem Substance:46507947
58810	C16-Fatty-Acyl-Substrate-Mimic		""	0		false	false	false	-1	DrugBank	PubChem Substance:46508640;PubChem Compound:3378216;PDB:THT;DrugBank:DB02990
58811	S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea		""	1		false	false	false	-1	DrugBank	BindingDB:50240712;PDB:TFM;PubChem Compound:3311;PubChem Substance:46505446;ChemSpider:3195;DrugBank:DB02991
58812	1-Deoxy-6-O-Phosphono-1-[(Phosphonomethyl)Amino]-L-Threo-Hexitol		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936549;PDB:H4P;DrugBank:DB02992;PubChem Substance:46505317
58813	8-Methyl-9-Oxoguanine		""	0		false	false	false	-1	DrugBank	PubChem Compound:446312;DrugBank:DB02993;PDB:MOG;BindingDB:50108008;PubChem Substance:46508627
58814	Hydroxydimethylarsine Oxide		""	3		false	false	false	-1	DrugBank	PubChem Substance:46507712;PubChem Compound:2513;PDB:CAD;DrugBank:DB02994
58815	Cyclohexylammonium Ion		""	0		false	false	false	-1	DrugBank	PubChem Compound:1549093;PDB:HAI;DrugBank:DB02995;PubChem Substance:46505848;ChEBI:42939
58816	2-(Thiomethylene)-4-Methylpentanoic Acid		""	1		false	false	false	-1	DrugBank	PDB:SLE;PubChem Substance:46508909;DrugBank:DB02996;ChemSpider:16744201;PubChem Compound:17754166
58817	Methyltrienolone	Metribolone;17-beta-Hydroxy-17-methylestra-4,9,11-trien-3-one;R1881	"A synthetic non-aromatizable androgen and anabolic steroid. It binds strongly to the androgen receptor and has therefore also been used as an affinity label for this receptor in the prostate and in prostatic tumors."	3		false	false	false	-1	DrugBank	PubChem Compound:261000;ChemSpider:229099;ChEBI:379896;IUPHAR:2857;DrugBank:DB02998;Guide to Pharmacology:2857;KEGG Compound:C14257;PDB:R18;PubChem Substance:46505539
58818	Quisqualate		"An agonist at two subsets of excitatory amino acid receptors, ionotropic receptors that directly control membrane channels and metabotropic receptors that indirectly mediate calcium mobilization from intracellular stores. The compound is obtained from the seeds and fruit of Quisqualis chinensis. [PubChem]"	2		false	false	false	-1	DrugBank	PDB:QUS;BindingDB:17660;DrugBank:DB02999;PubChem Substance:46509075;IUPHAR:1372;PubChem Compound:40539;Guide to Pharmacology:1372
58819	9-Hydroxypropyladenine, S-Isomer		""	0		false	false	false	-1	DrugBank	PubChem Compound:445211;DrugBank:DB03000;PubChem Substance:46508593;PDB:APS
58820	Peridinin		""	0		false	false	false	-1	DrugBank	PubChem Compound:46936550;NSC:679586;PubChem Compound:5289155;PDB:PID;PubChem Substance:518143;ChemSpider:434332;PubChem Substance:46507234;DrugBank:DB03001
58821	4-Iodophenol		""	0		false	false	false	-1	DrugBank	PubChem Compound:10894;PDB:IOL;PubChem Substance:46507358;DrugBank:DB03002
58822	Glutathione Sulfonic Acid		""	3		false	false	false	-1	DrugBank	PubChem Substance:46504962;PDB:GTS;PubChem Compound:13134933;DrugBank:DB03003
58823	1-[(1s)-Carboxy-2-(Methylsulfinyl)Ethyl]-(3r)-[(5s)-5-Amino-5-Carboxypentanamido]-(4r)-Sulfanylazetidin-2-One		""	0		false	false	false	-1	DrugBank	PDB:ACS;DrugBank:DB03004;PubChem Substance:46506055;PubChem Compound:46936551
58824	3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-5-Yl]Hexyl]-Phenanthridinium		""	1		false	false	false	-1	DrugBank	PDB:TZ5;PubChem Substance:46507327;BindingDB:50149201;DrugBank:DB03005;PubChem Compound:5289508
58825	4-Aminophenylarsonic Acid		"An arsenical which has been used as a feed additive for enteric conditions in pigs and poultry. It causes blindness and is ototoxic and nephrotoxic in animals. [PubChem]"	1		false	false	false	-1	DrugBank	PubChem Compound:7389;ChEBI:49477;PubChem Substance:46508500;DrugBank:DB03006;PDB:ASR
58826	9r,13r-Opda		""	0		false	false	false	-1	DrugBank	PubChem Substance:46508440;DrugBank:DB03007;ChemSpider:163718;PubChem Compound:14037062;PDB:OPD
58827	5-Fluoro-Beta-L-Gulosyl Fluoride		""	1		false	false	false	-1	DrugBank	DrugBank:DB03008;PDB:GUL;PubChem Substance:46505937;PubChem Compound:46936552
58828	2-[(2-Oxo-2-Piperidin-1-Ylethyl)Thio]-6-(Trifluoromethyl)Pyrimidin-4(1h)-One		""	0		false	false	false	-1	DrugBank	PubChem Substance:46507883;PubChem Compound:448768;ChemSpider:395466;DrugBank:DB03009;PDB:B1V
58829	Epothilone B	EPO 906;patupilone;EPO906	"Epothilone B is a 16-membered macrolide that mimics the biological effects of taxol."	54		false	true	false	18	CancerRxGene;DrugBank	PDB:EPB;DrugBank:DB03010;PubChem Compound:46936553;PubChem Substance:46505629
58830	Adenosine-5'-(Dithio)Phosphate		""	0		false	false	false	-1	DrugBank	PDB:ADS;DrugBank:DB03011;PubChem Substance:46506295;PubChem Compound:46936554
58831	Phenylalanine-N-Sulfonamide		""	1		false	false	false	-1	DrugBank	PDB:CXA;PubChem Substance:46507316;PubChem Compound:446382;DrugBank:DB03012;ChemSpider:393756
58832	Di(N-Acetyl-D-Glucosamine)		""	2		false	false	false	-1	DrugBank	PDB:CBS;DrugBank:DB03013;PubChem Compound:46936555;PubChem Substance:46505382;ChEBI:50670
58833	Heme		""	26		false	false	false	-1	DrugBank	PubChem Compound:4973;ChEBI:30413;PDB:HEM;PubChem Substance:46505355;DrugBank:DB03014
58834	6-Hydroxy-1,6-Dihydro Purine Nucleoside		""	1		false	false	false	-1	DrugBank	PubChem Substance:46508394;ChemSpider:2570459;PubChem Compound:46936556;PDB:PRH;DrugBank:DB03015
58835	CRA_1801		""	1		false	false	false	-1	DrugBank	PDB:801;PubChem Substance:46508086;PubChem Compound:5326682;DrugBank:DB03016
58836	3,4-Dimethylaniline		""	0		false	false	false	-1	DrugBank	PDB:34A;DrugBank:DB03018;PubChem Compound:7248;ChEBI:39901;PubChem Substance:46508447
58837	4-(2,5-Dichloro-Thiophen-3-Yl)-Pyrimidin-2-Ylamine		""	1		false	false	false	-1	DrugBank	PubChem Substance:46508071;PDB:CK1;DrugBank:DB03019;PubChem Compound:447955
58838	5-Beta-D-Ribofuranosylnicotinamide Adenine Dinucleotide		""	1		false	false	false	-1	DrugBank	DrugBank:DB03020;PubChem Compound:46936557;PDB:CND;PubChem Substance:46506222
58839	Ulapualide A		""	1		false	false	false	-1	DrugBank	ChemSpider:16744250;PubChem Compound:46936559;PubChem Substance:46505993;DrugBank:DB03021;PDB:ULA
58840	3-{2,6,8-Trioxo-9-[(2r,3s,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate		""	0		false	false	false	-1	DrugBank	DrugBank:DB03022;PubChem Substance:46505114;PubChem Compound:657024;PDB:T1P
58841	1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine		""	3		false	false	false	-1	DrugBank	PDB:PP2;PubChem Substance:46506310;DrugBank:DB03023;ChemSpider:21542405;PubChem Compound:448171
58842	2-Methyl-3-(2-Aminothiazolo)Propanal		""	1		false	false	false	-1	DrugBank	PubChem Compound:5288557;PubChem Substance:46506107;ChemSpider:4450696;DrugBank:DB03024;PDB:HII
58843	1-Octen-3-Ol		""	0		false	false	false	-1	DrugBank	PubChem Compound:2724898;PubChem Substance:46505658;PDB:3OL;DrugBank:DB03025
58844	Phosphoglycolohydroxamic Acid		""	1		false	false	false	-1	DrugBank	PDB:PGH;PubChem Substance:46507230;PubChem Compound:4797;ChEBI:28475;DrugBank:DB03026
58845	1h-Benoximidazole-2-Carboxylic Acid		""	1		false	false	false	-1	DrugBank	PubChem Compound:233240;PubChem Substance:46508154;PDB:TRM;ChEBI:46117;DrugBank:DB03028
58846	Ortho-Xylene		""	0		false	false	false	-1	DrugBank	DrugBank:DB03029;PubChem Compound:7237;ChEBI:28063;PubChem Substance:46508924;PDB:OXE
58847	4-(2-Thienyl)-1-(4-Methylbenzyl)-1h-Imidazole		""	0		false	false	false	-1	DrugBank	ChemSpider:393609;PubChem Substance:46505226;BindingDB:8738;DrugBank:DB03030;PDB:654;PubChem Compound:446185
58848	Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide		""	0		false	false	false	-1	DrugBank	DrugBank:DB03031;PubChem Compound:447015;PubChem Substance:46505219;ChemSpider:394227;PDB:DSO
58849	S-Octylglutathione		""	1		false	false	false	-1	DrugBank	DrugBank:DB03032;PubChem Substance:46508495;PDB:GTY;PubChem Compound:9888340
58850	1-Methyloxy-4-Sulfone-Benzene		""	2		false	false	false	-1	DrugBank	DrugBank:DB03033;PharmGKB:PA451991;PDB:MSB
